H,He,Li,Be,B,C,N,O,F,Ne
21.7761,7.06451,0,0,0,250,0,0,0,0
26.9787,47.9055,31.0073,36.954,79.619,246.39,1.872,0.364455,1.32046,0.138946
33.5745,66.6447,56.7313,58.731,124.826,243.983,4.21345,0.398937,1.08502,0.00468365
39.8083,82.3568,79.1048,76.5517,144.353,241.646,5.63621,0.387365,1.28505,0.593854
44.4466,100.903,85.3373,96.0978,166.26,239.165,8.06223,0.373409,1.15977,0
48.9685,113.394,108.453,117.389,170.924,236.771,9.59942,0.308507,1.29141,0
51.511,119.866,110.244,122.872,179.904,234.381,10.18,0.366955,1.34791,0.421984
54.6201,128.524,118.786,127.433,181.396,232.005,12.077,0.365151,1.48932,2.58679
57.4287,136.643,123.687,138.406,185.21,229.522,14.462,0.34651,1.74074,0.00738719
60.2715,143.333,129.027,135.309,188.63,227.032,16.0321,0.367662,1.39144,0
61.7777,148.312,138.1,142.808,187.09,224.524,17.4474,0.32222,0.793511,0
63.5518,149.878,143.917,149.485,187.883,222.116,19.6381,0.322703,1.16613,0.00911167
64.8545,153.107,145.089,156.488,188.779,219.501,19.3254,0.30135,1.32638,0
66.1824,155.156,145.204,151.428,189.048,216.877,21.0521,0.32793,1.80231,0.994744
67.2709,158.065,151.771,152.702,190.068,214.387,21.5477,0.297574,1.25236,0.0124559
68.7108,159.346,149.713,162.083,187.27,211.775,22.983,0.308151,1.35285,0.216991
69.4389,160.623,153.422,164.58,185.795,209.272,22.6264,0.34567,1.1636,0
70.4883,163.027,154.964,153.525,185.987,206.548,23.6587,0.347741,1.29386,0.0395738
71.3804,163.937,151.83,158.613,184.873,204.056,24.7334,0.303706,1.75656,0.821774
71.8312,164.959,153.114,160.995,181.163,201.292,26.115,0.331598,1.11875,0.0223886
72.337,165.09,154.218,156.842,181.177,198.681,25.397,0.301711,1.75133,0.00701032
72.9143,164.641,157.289,156.13,179.481,195.85,27.454,0.315027,2.1379,0.0475276
72.8131,165.31,151.08,152,178.364,193.155,27.2167,0.336708,1.32347,0
73.4048,165.333,149.944,157.146,178.968,190.418,26.0862,0.289992,1.76836,0
74.1777,166.479,157.179,151.105,174.222,187.576,25.7815,0.336222,1.80197,1.34484
73.9361,165.928,153.837,154.12,171.41,184.707,25.0865,0.325599,1.70017,0.703054
74.5277,166.776,155.175,150.318,170.71,181.968,25.7222,0.298503,1.62815,0
74.4886,165.762,158.579,153.652,168.632,179.126,24.6744,0.313853,1.66158,1.20497
74.704,164.783,150.932,151.023,166.408,176.194,23.6111,0.337055,1.48967,0.015356
75.1384,164.795,154.989,154.708,164.227,173.159,23.4612,0.347574,1.9604,1.10369
75.0151,164.214,152.021,152.658,161.767,170.169,22.1776,0.347279,1.40769,0.00540704
75.0407,163.455,152.412,147.305,159.841,167.121,21.8942,0.352115,1.84887,0.0125022
74.8591,162.81,149.929,143.655,158.072,164.117,19.6416,0.358954,1.91966,1.7013
74.5771,161.256,145.153,146.61,156.475,161.046,19.6245,0.35305,1.51968,2.20675
74.0715,160.161,147.57,144.098,152.895,157.862,18.2128,0.321598,2.08693,0
74.0555,160.248,146.137,140.802,150.501,154.613,16.2041,0.386549,2.04959,0.691586
73.8261,158.738,147.032,139.117,147.992,151.33,15.08,0.38834,1.75837,0.836722
74.0444,159.102,143.65,136.908,145.186,148.159,13.5278,0.370592,1.98535,0.492067
73.7817,158.143,148.825,136.1,143.491,144.691,12.5798,0.403227,1.60817,0.452943
73.1851,157.047,144.367,130.174,140.072,141.28,12.199,0.431076,2.45416,0
72.6954,155.294,139.889,132.662,137.62,137.66,12.1826,0.38258,1.70989,0.00787139
72.2597,153.851,141.208,130.889,135.374,134.194,10.263,0.428908,2.31245,0.792304
72.0299,151.959,138.199,127.196,132.118,130.26,10.1644,0.442238,2.10527,0.594771
71.3947,151.955,138.063,125.414,128.953,126.506,9.87361,0.463404,2.38826,0.837243
71.1123,150.604,136.63,127.58,125.419,122.368,9.76319,0.451351,2.03199,2.93805
70.1114,148.393,134.655,121.134,122.85,117.55,9.79159,0.460518,2.4059,4.8059
69.4388,147.724,134.292,118.414,120.242,113.064,9.26252,0.482208,2.15669,3.27232
68.9464,145.509,130.959,114.126,116.985,107.533,9.52197,0.518413,2.0995,4.73044
68.2885,144.221,133.31,118.09,112.774,103.231,8.98436,0.521187,2.69511,5.1691
67.3215,142.236,131.857,113.959,109.54,99.0507,8.39956,0.51827,2.43329,3.36307
66.7991,141.285,127.497,110.277,106.546,94.5179,8.63227,0.561859,3.12978,3.07997
66.0254,139.154,129.058,108.883,102.591,89.7488,7.92651,0.556341,2.6878,1.14214
65.4881,137.733,122.643,104.704,98.1133,84.7343,7.51926,0.631029,2.61264,1.29126
64.577,135.315,121.352,102.717,94.617,79.275,6.82306,0.649754,2.78576,2.12311
63.3918,133.84,121.346,103.349,89.2504,73.6879,6.63444,0.659926,2.36395,1.56108
62.5503,131.358,118.279,97.8464,85.9906,72.5967,6.31853,0.720541,2.54544,5.20645
61.7231,128.866,117.381,94.6459,80.028,66.7483,6.01933,0.722254,2.21927,2.78584
60.5899,125.819,112.931,91.9324,74.3214,59.885,5.40559,0.786371,2.16214,2.12223
59.7016,122.479,110.088,85.4926,67.3205,51.9457,5.10803,0.812213,2.26197,2.21259
58.8716,118.78,104.409,80.4236,60.1712,44.606,4.68339,0.821243,2.16736,2.25813
58.4336,113.206,100.065,75.2611,54.9939,41.3415,4.4855,0.853531,1.99754,2.09253
