H,He,Li,Be,B,C,N,O,F,Ne
1.35458e+06,4260,0,0,0,0,0,180,0,0
40010,11954,691,365,2336,1.00261e+06,2397,3092,32,5
67169,20862,1213,630,4213,995387,2440,3419,32,2
91876,28929,1690,932,6059,988099,2537,3776,46,2
115013,36626,2202,1154,7685,980883,2598,3912,41,0
137225,44339,2627,1426,9477,973818,2604,4169,46,0
159167,52093,3091,1679,11264,966641,2731,4392,42,3
180272,59766,3574,1910,12945,959508,2688,4668,46,1
200614,66886,4084,2168,14495,952381,2765,4757,40,2
220254,74038,4540,2363,16183,945529,2800,5118,35,0
239892,81454,4991,2614,17794,938712,2857,5318,40,0
259338,89065,5435,2857,19324,931835,2848,5427,46,2
279258,96331,5933,3073,20910,925002,2991,5707,51,0
299018,103759,6395,3319,22401,918188,3027,5875,57,5
316628,110454,6748,3568,23912,911271,3013,6113,62,1
334963,117810,7151,3768,25374,904705,3058,6214,44,1
352449,124888,7566,3973,26745,898005,3116,6190,42,0
370443,131998,7974,4225,28204,891544,3306,6616,51,1
387662,138973,8396,4413,29610,884753,3212,6743,33,5
404967,145946,8787,4632,31059,878228,3264,6951,39,3
422194,152723,9208,4874,32407,871690,3310,6981,41,1
438583,159686,9582,5065,33704,865284,3208,7165,32,4
455701,166352,10002,5268,34933,858985,3389,7345,41,0
471875,173293,10403,5473,36087,852560,3476,7397,45,0
487463,179973,10730,5675,37448,846291,3539,7651,54,1
503529,186836,11117,5880,38778,839873,3631,7771,62,2
518365,193299,11445,6056,39880,833395,3579,7965,53,0
533751,200177,11828,6243,41035,827200,3669,8120,50,1
548344,206696,12203,6473,42224,821016,3819,8269,60,4
562844,212981,12569,6657,43376,814864,3806,8352,49,2
577713,219784,12922,6846,44542,808778,3868,8646,65,4
592086,226301,13293,7059,45621,802584,3936,8874,58,2
606530,232800,13689,7243,46713,796384,3982,8993,49,1
620366,239246,14005,7396,47730,790286,3930,9026,77,2
634437,245705,14373,7601,48882,784295,3983,9166,70,0
