H,He,Li,Be,B,C,N,O,F,Ne
21.0702,6.74748,0,0,0,250,0,0.0209377,0,0
26.8346,49.7193,41.1905,59.0856,65.1163,246.371,2.30246,0.409008,1.7903,0
33.231,68.5099,55.58,94.6882,113.995,243.984,4.63697,0.409561,1.19377,0
39.0208,86.2854,84.9167,111.633,137.625,241.612,7.40891,0.348643,1.59246,0.454606
44.0954,100.729,90.7251,129.942,150.148,239.117,9.55312,0.357172,1.25718,0
48.3974,113.222,101.678,139.27,158.251,236.751,11.862,0.369555,1.97913,0.0069573
50.7064,123.667,113.279,149.058,167.606,234.467,13.9047,0.320895,1.23203,0.0947557
53.693,130.186,131.371,144.38,170.222,231.911,16.1268,0.413187,2.36694,0
56.2004,136.1,124.047,151.687,177.452,229.439,18.1756,0.373771,1.04828,0
58.4332,140.923,138.991,169.036,177.63,227.047,18.6874,0.353174,0.93687,0.41756
60.8447,146.825,134.703,167.83,178.945,224.602,21.079,0.346871,1.38886,1.02037
62.0783,151.683,146.159,172.397,183.11,221.991,22.7991,0.310606,1.27733,0
63.4282,154.923,147.278,169.986,181.665,219.379,21.922,0.305631,1.46178,1.52871
64.7528,157.005,142.64,171.485,182.622,216.922,22.4242,0.311831,1.35856,1.04976
66.1848,157.859,150.92,173.064,184.008,214.379,23.7028,0.286936,1.738,0.01621
67.3632,160.335,149.149,165.531,181.149,211.912,23.4167,0.320333,1.14501,0.0037125
68.3384,163.427,147.439,181.109,181.675,209.152,25.5428,0.328999,1.37935,0.112164
69.3736,164.451,152.667,169.491,180.483,206.503,25.7513,0.306069,1.23343,4.81821
69.9321,164.905,158.96,174.596,180.085,203.911,27.2147,0.298451,1.33987,1.53287
70.9182,166.928,155.11,175.173,179.622,201.268,25.385,0.336334,1.62506,0
71.2411,166.8,152.819,172.474,176.983,198.665,25.9574,0.327569,1.26418,0.00672708
72.0306,166.67,154.357,168.252,173.098,195.842,26.1087,0.310583,1.74474,0.92292
72.4508,166.71,158.701,171.285,174.152,193.271,27.246,0.344844,1.82949,0.630506
72.6994,167.164,154.694,169.725,172.2,190.424,27.3466,0.300458,1.6518,0.938421
72.8577,166.097,163.267,165.086,171.654,187.635,25.3564,0.300237,1.35999,6.73201
73.6688,166.755,157.749,166.597,168.76,184.852,27.178,0.34967,1.70647,1.06212
73.3687,166.585,152.7,162.493,167.086,181.936,25.2835,0.318311,1.95585,0.00606683
73.5772,166.115,159.741,160.882,165.545,178.975,24.6596,0.348146,1.8707,0
74.0101,165.582,158.193,162.548,165.06,176.166,24.448,0.375191,2.01752,0.296936
73.7508,165.314,155.893,158.001,162.546,173.216,23.7176,0.329379,1.75532,1.39453
73.9741,164.121,155.892,161.442,160.247,170.234,22.1258,0.337111,1.94637,4.04465
73.8977,163.863,153.719,155.53,157.508,167.172,21.222,0.355994,2.50546,0.28996
73.3771,162.745,153.4,158.275,154.509,164.029,21.0125,0.362177,1.93916,0.310631
73.6002,161.962,150.033,152.558,153.973,160.982,19.6102,0.368272,2.21416,0.624711
73.0764,161.264,152.312,150.957,151.358,157.894,18.4612,0.373864,1.84729,1.81637
73.0155,160.273,150.858,145.439,148.571,154.618,16.5108,0.369951,2.11433,1.01923
73.1403,159.034,152.24,147.052,145.347,151.45,15.4068,0.362932,1.49034,1.06728
72.8717,158.424,147.801,146.286,141.826,148.114,14.3125,0.39154,1.68777,0.353879
