H,He,Li,Be,B,C,N,O,F,Ne
1.40958e+06,966,0,0,0,0,0,0,0,0
40526,12435,738,579,2004,1.00276e+06,2462,3095,39,0
67441,21247,1309,1013,3568,995521,2602,3383,48,0
91241,29271,1786,1382,4994,988225,2496,3669,45,3
114672,37673,2328,1770,6463,981324,2644,3952,30,0
136685,45387,2867,2153,7823,973982,2657,4081,42,2
157600,52790,3355,2493,9220,966991,2701,4443,43,1
178496,60696,3804,2889,10594,960217,2731,4637,38,0
199710,68905,4301,3249,11875,953302,2797,4982,43,0
220074,76541,4706,3610,13266,946179,2907,5046,44,3
239438,83791,5192,3991,14519,939196,2833,5343,53,2
258475,91311,5658,4328,15770,932575,2847,5438,41,0
277514,98979,6067,4704,17039,925961,2931,5690,39,1
296706,106527,6534,5053,18351,919084,3121,5805,48,2
314166,113808,6969,5341,19382,912301,3047,5991,33,1
332451,121237,7408,5723,20648,905886,3176,6286,48,3
350355,128406,7897,5972,21853,899091,3120,6376,38,2
367437,135669,8335,6287,23004,892478,3221,6504,50,1
384658,142784,8749,6590,24108,886123,3219,6757,51,3
400917,149601,9222,6902,25284,879631,3367,6851,61,0
417844,156783,9641,7261,26359,873124,3400,7112,38,1
434699,163984,10019,7589,27418,866870,3428,7169,42,1
450413,171032,10388,7882,28356,860291,3478,7386,53,1
466057,177851,10805,8170,29432,854114,3409,7314,45,2
481627,184773,11136,8522,30486,847939,3635,7593,56,1
497042,191258,11507,8805,31483,841622,3596,7810,60,2
512340,197722,11871,9144,32471,835689,3632,7991,54,3
527268,204280,12262,9449,33453,829536,3714,8246,46,2
541783,211017,12684,9705,34428,823257,3798,8324,57,3
556323,217691,13063,9966,35409,817086,3842,8516,60,2
569870,224467,13455,10245,36268,811108,3915,8758,62,1
583782,230959,13799,10538,37242,805074,3972,8777,56,2
598222,237648,14088,10808,38200,799049,4004,8935,79,6
610938,244014,14464,11097,38991,792834,4074,8900,72,5
624534,250327,14764,11346,39830,786995,4094,9129,79,5
637759,256833,15134,11647,40705,781151,4130,9284,70,2
649820,263052,15464,11931,41534,775053,4259,9497,62,1
661958,269508,15817,12173,42475,769241,4338,9617,85,7
674626,275687,16101,12445,43273,763223,4357,9756,62,3
686537,282139,16460,12718,44016,757378,4392,9652,83,5
698141,288452,16841,12954,44818,751513,4494,10039,76,6
710370,294692,17226,13253,45589,745737,4608,10016,78,2
721771,300949,17591,13478,46319,739921,4738,10156,86,3
732898,307194,17922,13723,47021,734044,4681,10317,78,6
743590,313496,18292,13928,47781,728254,4798,10455,98,6
753455,319543,18591,14150,48485,722373,4715,10710,81,5
764281,325891,18917,14375,49222,716819,5011,10870,113,2
774710,332185,19279,14659,49979,710932,5082,10940,106,5
783176,338304,19626,14867,50556,704978,5059,11166,95,2
791669,344390,19995,15088,51438,699150,5024,11291,120,8
800546,350714,20359,15342,52168,693322,5003,11458,104,3
808637,356968,20635,15593,52829,687470,5053,11618,114,6
816323,363154,20968,15776,53699,681385,5075,11740,141,10
822776,369096,21293,16029,54667,675200,4935,11816,135,9
828677,375524,21615,16227,55517,668920,4944,12008,134,12
834345,381478,21983,16401,56479,662395,4923,12056,149,15
839731,388057,22308,16710,57591,655556,5051,12351,174,21
844237,394560,22680,16942,58859,647913,5077,12637,223,27
846558,400792,22979,17176,61637,639644,4886,13070,247,33
848671,407312,23346,17401,65337,629278,4968,13283,320,54
850936,414829,23595,17551,66246,615468,4509,13414,419,67
856164,424827,23624,17465,66091,600618,3605,13567,542,39
861013,434268,23516,17322,65795,585546,3611,13745,702,127
862072,439877,23459,17085,63324,569693,3274,13650,795,725
847546,432590,23637,16724,55460,546735,1774,12190,345,1251
824381,420974,23567,16061,50310,1895,1345,11417,90,20
808311,413098,23176,15160,45790,792,1270,11310,73,20
795481,406295,22606,14217,41394,742,1315,11216,83,22
783987,399597,22079,13341,37326,765,1278,11239,65,15
773461,393143,21447,12472,33585,727,1186,10870,65,16
763423,387372,20891,11706,30064,693,1119,11009,77,15
753352,381176,20305,10914,26702,693,1184,10783,82,16
743982,375278,19666,10198,23556,646,1097,10687,63,11
734767,369226,19182,9540,20620,681,1130,10792,70,17
725909,363361,18632,8886,17893,671,1084,10565,67,11
716979,357262,18094,8224,15332,611,1072,10537,67,6
708916,351650,17521,7597,13045,568,1054,10462,66,14
700301,345782,17026,7042,10850,530,1020,10434,63,13
691902,339955,16566,6462,8970,550,1007,10405,54,12
684138,334503,15991,5902,7276,534,974,10088,53,9
676108,328995,15480,5409,5618,531,966,10131,44,8
668278,323362,15043,4951,4070,508,941,10176,41,2
660789,317517,14479,4476,2732,495,910,10127,37,2
652905,312278,13984,4084,1498,519,876,9979,33,1
645965,306948,13508,3751,680,520,944,9941,30,2
638821,301877,12997,3447,309,475,855,9932,40,1
631980,296754,12568,3204,261,510,830,9955,37,2
625096,291834,12205,2928,202,504,865,9564,39,1
618555,286588,11782,2689,202,481,843,9647,42,4
611740,281494,11404,2504,182,449,781,9710,38,2
604965,276804,11030,2308,152,458,867,9626,41,6
598612,271751,10642,2160,139,439,774,9269,43,1
591986,266989,10276,2031,180,454,744,9595,44,1
585593,262309,9920,1880,148,446,763,9505,36,6
579604,257537,9561,1731,143,458,798,9309,31,2
573323,252870,9192,1594,153,421,768,9239,34,0
566914,248542,8850,1479,151,402,750,9305,28,4
560500,244038,8535,1363,159,400,658,9188,34,4
554692,239749,8222,1243,144,429,723,9043,32,1
548976,235424,7872,1125,133,385,713,9051,30,1
543181,231016,7575,1023,134,356,746,8921,28,3
537026,226590,7257,912,110,381,671,8954,39,1
531704,222546,6941,814,137,391,684,8814,28,1
525844,218293,6638,731,110,392,676,9077,22,2
519985,213995,6345,640,121,382,657,8818,27,1
514631,209925,6050,572,107,346,659,8891,38,2
509360,205774,5756,499,104,380,656,8663,33,3
504110,201856,5506,446,111,363,597,8659,33,4
498676,197925,5259,376,106,375,614,8540,20,1
493449,193902,4986,332,91,372,644,8570,35,0
488399,189951,4726,290,103,349,573,8546,34,1
483181,186067,4461,243,103,342,572,8617,21,1
477764,182273,4249,208,116,309,555,8492,32,3
472733,178489,3993,159,93,316,570,8318,27,1
467771,174833,3759,121,97,319,532,8309,22,2
462749,170918,3533,88,84,318,571,8253,28,3
457780,167266,3356,67,101,329,580,8182,21,0
452408,163535,3156,46,66,303,541,8256,24,1
447950,160041,2979,34,56,297,550,8211,34,5
443368,156385,2777,29,66,321,538,7981,19,2
438065,152679,2622,18,65,300,467,7950,21,0
433380,149315,2448,26,65,323,500,8000,28,0
428167,145925,2270,10,52,273,474,7886,22,0
423345,142792,2106,10,43,294,493,7963,19,0
418994,139515,1967,17,62,268,472,7862,40,0
414247,136094,1822,12,61,254,456,7872,21,2
409999,132961,1702,7,45,282,490,7758,16,0
405155,129611,1590,10,34,251,435,7759,28,1
401185,126674,1492,4,51,270,478,7768,21,0
396746,123499,1375,12,43,252,480,7769,20,0
