H,He,Li,Be,B,C,N,O,F,Ne
0,0,0,0,0,250,0,0,0,0
0,0,0,0,0,248.461,0,0,0,0
0,0,0,0,0,246.104,0,0,0,0
0,0,0,0,0,243.733,0,0,0,0
0,0,0,0,0,241.348,0,0,0,0
0,0,0,0,0,238.948,0,0,0,0
0,0,0,0,0,236.535,0,0,0,0
0,0,0,0,0,234.106,0,0,0,0
0,0,0,0,0,231.662,0,0,0,0
0,0,0,0,0,229.202,0,0,0,0
0,0,0,0,0,226.725,0,0,0,0
0,0,0,0,0,224.232,0,0,0,0
0,0,0,0,0,221.72,0,0,0,0
0,0,0,0,0,219.192,0,0,0,0
0,0,0,0,0,216.644,0,0,0,0
0,0,0,0,0,214.079,0,0,0,0
0,0,0,0,0,211.494,0,0,0,0
0,0,0,0,0,208.889,0,0,0,0
0,0,0,0,0,206.265,0,0,0,0
0,0,0,0,0,203.618,0,0,0,0
0,0,0,0,0,200.951,0,0,0,0
0,0,0,0,0,198.259,0,0,0,0
0,0,0,0,0,195.544,0,0,0,0
0,0,0,0,0,192.804,0,0,0,0
0,0,0,0,0,190.039,0,0,0,0
0,0,0,0,0,187.245,0,0,0,0
0,0,0,0,0,184.423,0,0,0,0
0,0,0,0,0,181.57,0,0,0,0
0,0,0,0,0,178.685,0,0,0,0
0,0,0,0,0,175.769,0,0,0,0
0,0,0,0,0,172.818,0,0,0,0
0,0,0,0,0,169.833,0,0,0,0
0,0,0,0,0,166.812,0,0,0,0
0,0,0,0,0,163.755,0,0,0,0
0,0,0,0,0,160.661,0,0,0,0
0,0,0,0,0,157.525,0,0,0,0
0,0,0,0,0,154.347,0,0,0,0
0,0,0,0,0,151.12,0,0,0,0
0,0,0,0,0,147.84,0,0,0,0
0,0,0,0,0,144.501,0,0,0,0
0,0,0,0,0,141.096,0,0,0,0
0,0,0,0,0,137.626,0,0,0,0
0,0,0,0,0,134.083,0,0,0,0
0,0,0,0,0,130.461,0,0,0,0
0,0,0,0,0,126.725,0,0,0,0
0,0,0,0,0,122.865,0,0,0,0
0,0,0,0,0,118.857,0,0,0,0
0,0,0,0,0,114.662,0,0,0,0
0,0,0,0,0,110.619,0,0,0,0
0,0,0,0,0,106.518,0,0,0,0
0,0,0,0,0,102.298,0,0,0,0
0,0,0,0,0,97.9488,0,0,0,0
0,0,0,0,0,93.4505,0,0,0,0
0,0,0,0,0,88.7799,0,0,0,0
0,0,0,0,0,83.9008,0,0,0,0
0,0,0,0,0,78.9566,0,0,0,0
0,0,0,0,0,73.8947,0,0,0,0
0,0,0,0,0,68.5439,0,0,0,0
0,0,0,0,0,62.8428,0,0,0,0
