H,He,Li,Be,B,C,N,O,F,Ne
21.6673,5.53214,0,0,0,250,0,0,0,0
28.6433,52.1134,49.2032,93.5872,103.926,247.398,3.56068,0.0283661,0.140495,0
37.2431,82.2686,83.179,134.379,149.521,244.998,7.2388,0.0272322,0.475934,0
44.5906,108.028,104.287,161.111,180.043,242.637,10.0557,0.0662667,0.213052,0.00597397
49.9599,120.071,121.82,176.914,188.139,240.192,14.4322,0.0438824,0.129474,0
53.9611,129.777,121.366,172.85,191.135,237.811,17.2289,0.025543,0.568789,0
57.9221,137.383,134.225,186.816,196.652,235.428,17.7617,0.0250008,0.242293,0
60.6836,146.65,147.353,187.615,199.958,232.988,20.3233,0.0204081,0.322999,0.00891248
63.2412,153.247,145.189,192.496,199.323,230.536,23.0225,0.0491313,0.149944,0
65.5793,157.175,157.192,187.373,201.862,228.064,24.0285,0.0352387,0.435668,0
67.7832,158.816,159.354,189.966,198.529,225.62,26.4691,0.0193465,0.112913,0
69.1594,161.038,164.658,193.262,200.174,223.076,27.3515,0.0223798,0.420553,0.00850844
70.6226,163.69,161.171,189.69,199.577,220.605,27.716,0.0312856,0.207371,0.00505727
71.8565,163.905,165.619,194.116,198.549,218.033,29.1897,0.0303953,0.363011,0
73.0766,166.048,165.566,195.65,197.788,215.522,29.9043,0.020082,0.0378826,0.0117415
73.8768,166.825,167.174,190.526,196.644,212.936,31.8685,0.0421232,0.186619,0.00623501
74.5825,167.126,168.959,188.844,195.432,210.355,34.2505,0.0185863,0.161338,0
75.3136,167.921,163.025,190.625,193.846,207.721,32.4217,0.0295263,0.128676,0.00972419
76.0989,167.111,164.884,186.701,190.716,205.062,33.0581,0.0183168,0.127247,0
76.814,167.453,161.575,183.315,189.096,202.437,33.2552,0.0276819,0.208338,0
77.3044,166.008,165.91,181.588,187.456,199.774,33.3746,0.0397569,0.149317,0
77.3706,166.096,162.65,182.432,185.277,197.079,36.6322,0.0336026,0.104404,0
77.1778,165.272,165.007,183.299,183.666,194.334,34.8581,0.0171796,0.147659,0
77.8195,164.866,161.576,180.217,182.232,191.606,31.2158,0.0264758,0.171273,0.00653119
78.2862,164.17,160.974,177.809,180.285,188.842,33.7587,0.0248064,0.162666,0
78.2973,163.747,160.863,175.371,177.911,186.012,33.6273,0.0160614,0.226607,0.0105064
78.3932,163.696,163.588,174.098,175.637,183.123,31.4755,0.0243427,0.156494,0.00605192
78.2872,161.902,163.727,171.076,174.071,180.305,33.2849,0.0369008,0.236424,0
78.3637,160.894,159.916,173.106,170.512,177.384,30.2214,0.024559,0.0644841,0.00507851
78.1878,159.673,157.94,167.33,169.253,174.479,29.0862,0.0228393,0.215885,0
78.2669,159.105,156.19,166.607,166.697,171.549,28.6708,0.0241905,0.189142,0
77.9765,157.309,153.514,163.918,164.039,168.529,25.9342,0.0234968,0.0914737,0.00532497
77.851,155.58,151.737,161.861,160.859,165.453,25.5512,0.0294956,0.117533,0.00587358
77.5842,154.89,152.993,159.885,159.038,162.39,24.5977,0.0229789,0.199524,0.00634984
77.381,153.119,150.743,157.117,156.05,159.271,20.4408,0.0209762,0.250279,0.00779568
77.0134,151.629,148.166,154.971,153.144,156.079,18.9574,0.0179998,0.110429,0.00607515
76.5115,150.202,145.649,152.418,150.861,152.886,17.9764,0.0242994,0.186866,0
76.2715,148.825,141.042,150.395,147.888,149.591,16.4072,0.0173785,0.106257,0
75.6614,147.672,143.04,147.686,145.469,146.254,15.9918,0.0241041,0.149596,0.44542
75.2502,145.369,142.666,145.068,142.374,142.814,15.0963,0.0245821,0.152333,0
74.7886,144.46,140.392,143.654,140.132,139.407,14.1802,0.0186184,0.176668,0.0489632
74.2262,142.176,136.4,139.565,138.189,135.807,12.9352,0.0213154,0.123809,0.00244598
73.6607,139.996,135.009,138.757,134.416,132.091,12.499,0.0401514,0.15168,0.00184536
73.0961,138.891,132.493,136.563,131.527,128.324,12.7737,0.0392126,0.135962,0.00551164
72.4339,136.484,131.913,132.724,128.094,124.264,11.702,0.0224794,0.121093,0
71.805,134.815,129.568,129.629,125.055,119.908,11.1679,0.0273748,0.138149,0
71.2955,132.952,127.113,124.702,120.67,115.243,11.156,0.0304355,0.243484,0
70.4221,129.714,124.461,125.681,115.822,110.496,10.4342,0.0194967,0.120934,0.0090378
69.7639,128.499,122.421,121.993,112.543,105.886,9.85526,0.0269964,0.967476,0.0034397
68.9749,125.698,116.705,117.795,108.333,101.55,10.3913,0.0315692,0.525266,0
68.1748,123.356,117.273,112.48,104.399,96.9766,9.69962,0.0319029,0.180874,0.637316
67.1917,120.854,112.421,110.671,99.3689,92.3604,9.69562,0.036473,0.237512,0.00409764
66.3537,117.87,110.282,103.819,94.2902,87.5427,9.29622,0.0277884,0.612251,0.188973
65.5337,115.547,109.079,102.861,88.4825,82.329,8.58381,0.0382547,0.292703,0.0042948
64.4779,111.876,105.346,95.5181,83.572,76.8273,8.03295,0.0462552,0.197816,0.609754
