H,He,Li,Be,B,C,N,O,F,Ne
1.42156e+06,8848,0,0,0,0,116,0,0,0
60265,12146,844,394,1573,1.0018e+06,1283,3291,10,0
100063,19492,1332,680,2795,994271,1357,3698,11,0
135863,26516,1753,934,3837,986509,1326,3988,6,1
171698,33863,2243,1233,4959,979026,1407,4460,11,0
206316,41126,2718,1506,6057,971313,1367,4607,6,0
238574,48033,3153,1725,7054,963678,1508,4968,12,0
269513,54661,3549,1960,8092,956240,1459,5196,8,1
300337,61294,4004,2235,9071,948974,1412,5521,8,0
330896,68204,4418,2531,10124,941830,1513,5736,9,0
360979,74753,4826,2777,11108,934395,1509,5884,10,0
391288,81605,5276,3000,12074,927291,1529,6318,11,1
419824,87995,5731,3264,12959,919915,1555,6481,9,1
448931,94730,6099,3518,13929,912949,1633,6798,10,0
476103,101214,6505,3732,14877,905686,1636,6910,13,1
503749,107534,6896,4004,15742,898672,1644,6890,13,2
531166,114035,7300,4184,16580,891657,1581,6991,8,0
557415,120135,7796,4389,17491,884805,1699,7545,11,1
583122,126501,8139,4669,18417,877988,1729,7752,16,0
609215,132854,8554,4900,19240,871045,1760,7896,12,0
634984,139259,8973,5120,20072,864097,1817,8134,8,0
660074,145441,9318,5320,20895,857206,1725,8388,10,0
685175,151710,9671,5482,21716,850502,1796,8540,11,0
709109,157763,10061,5688,22560,843726,1806,8719,17,1
731663,163481,10423,5866,23395,836941,1814,8915,15,0
754394,169544,10759,6061,24187,830422,1753,9009,21,1
777738,175627,11117,6291,24955,824037,1949,9332,19,1
799740,181520,11404,6468,25744,817252,1869,9409,20,0
822339,187792,11721,6684,26499,810841,1862,9482,10,1
843926,193627,12090,6886,27166,804194,1956,9766,22,0
863373,199130,12429,7058,27801,797742,1912,9996,17,0
884584,205153,12789,7235,28512,791570,2013,9982,21,2
904604,211037,13104,7396,29282,785239,1964,10099,26,1
924910,216664,13364,7583,29916,778800,1992,10309,12,1
944355,222635,13683,7757,30648,772527,2099,10624,22,1
