H,He,Li,Be,B,C,N,O,F,Ne
20.802,2.58494,0,0,0,250,0,0,0,0
29.694,55.7637,38.0417,69.3403,105.279,247.298,2.95765,0.0326871,0.504225,0.00537885
37.7177,83.6642,74.6853,108.807,157.214,244.949,6.30793,0.0537798,0.152119,0
44.3154,105.88,83.6157,122.524,172.843,242.596,8.65996,0.0519669,0.134323,0.00869221
49.9311,122.63,97.3101,136.674,185.186,240.178,12.0511,0.0707187,0.0153769,0
53.9942,132.946,110.152,155.301,192.021,237.776,16.3487,0.0254966,0.303947,0.00610664
57.89,142.519,120.189,158.869,196.91,235.385,18.91,0.0234261,0.138119,0.0288936
60.3499,147.696,128.504,170.194,198.078,232.94,18.1188,0.055296,0.129313,0.00712879
63.2128,153.655,133.111,169.756,198.941,230.504,22.4654,0.0229566,0.10882,0
65.267,156.651,140.784,173.208,198.954,228.044,23.1638,0.0379122,0.215892,0
67.2622,159.288,140.617,168.935,199.41,225.519,26.0935,0.024984,0.219502,0
68.9653,160.729,145.305,177.085,201.101,223.077,26.4768,0.0236116,0.275344,0
70.3243,162.967,149.737,171.933,198.65,220.546,26.4199,0.034283,0.168678,0
71.7363,167.227,150.534,176.97,198.138,218.008,26.483,0.0237451,0.182496,0.00780289
72.5586,165.526,148.687,182.795,195.565,215.42,29.2572,0.0358627,0.13684,0.00361697
73.19,166.983,153.113,175.985,196.743,212.877,29.788,0.0551598,0.189734,0
74.2288,168.314,156.412,179.073,193.886,210.267,32.3797,0.0192846,0.120829,0.0084816
74.9461,167.518,152.617,178.519,193.669,207.674,32.9004,0.0418338,0.117514,0.00600782
75.2952,167.561,157.215,176.066,192.135,205.001,34.9222,0.0390407,0.157668,0.0207633
76.0919,166.825,155.484,177.273,188.671,202.365,35.9606,0.017282,0.11306,0.00588946
75.9191,167.489,152.818,174.043,187.831,199.638,34.9446,0.0203875,0.168073,0
76.4532,166.967,154.913,172.781,185.877,196.993,34.6124,0.0278046,0.113627,0.0373974
76.9158,166.796,158.101,170.435,183.771,194.263,33.7163,0.0179719,0.0893022,0.0356944
77.1224,166.976,156.59,169.757,182.6,191.491,36.2797,0.0284821,0.180349,0
77.5069,165.749,152.245,168.429,180.105,188.757,35.3794,0.0294904,0.114376,0
77.3507,164.333,153.303,167.189,178.181,185.909,35.725,0.0274047,0.168319,0
77.4568,163.65,153.283,167.685,175.182,183.066,33.5983,0.0408374,0.174515,0
77.3469,162.099,146.689,166.577,173.507,180.218,32.1591,0.0272442,0.123595,0
77.0077,161.34,148.558,161.927,171.676,177.346,31.5227,0.0199243,0.128015,0
77.1956,160.438,148.241,160.553,169.343,174.38,33.1948,0.0245793,0.0942615,0
77.3104,159.057,148.208,158.432,166.498,171.397,31.0269,0.0269716,0.237716,0
77.2755,157.674,147.888,159.741,164.77,168.399,29.9738,0.02409,0.0994277,0
76.9961,156.724,145.399,155.284,162.369,165.371,27.3558,0.0332391,0.165862,0
76.5217,155.188,141.929,153.101,160.086,162.27,25.3209,0.0194952,0.0722936,0.0151672
76.7026,154.234,139.598,150.026,155.626,159.178,24.0871,0.0360204,0.15698,0
76.2559,151.603,140.358,148.067,154.008,155.993,23.9464,0.0273369,0.273564,0
75.7913,150.856,140.411,147.34,151.441,152.751,21.3369,0.0293192,0.146334,0
75.5346,149.638,138.951,144.658,150.22,149.505,19.5819,0.0247317,0.139547,0
74.8118,147.384,135.271,141.4,146.454,146.117,16.8296,0.0219824,0.148088,0.00515833
74.2831,146.09,134.237,138.616,143.375,142.776,16.5764,0.0209553,0.138723,0
74.0807,144.453,132.469,136.466,141.293,139.292,16.1489,0.0357836,0.128277,0.00376899
73.3734,142.123,128.21,134.739,137.833,135.702,14.2995,0.0301879,0.169308,0.152252
72.7364,140.296,127.406,131.8,133.516,131.996,13.7314,0.0316052,0.175779,0
72.4393,138.665,125.818,129.581,131.95,128.121,13.5528,0.0307712,0.245488,0.00818253
71.7448,136.926,126.436,127.154,128.192,124.064,12.9572,0.0457561,0.15862,0.00541963
71.0799,135.084,122.585,123.63,125.586,119.695,12.9479,0.025486,0.159985,0.00643746
70.1583,132.795,122.718,119.672,122.118,114.997,11.599,0.0232537,0.110258,0.00871331
69.7208,130.5,118.63,118.553,119.342,109.921,12.5044,0.0313924,0.807341,0
69.014,128.116,117.389,112.569,114.398,105.477,11.1339,0.0259056,0.257447,0.0251294
68.2417,125.415,113.051,109.732,109.4,100.881,11.2629,0.0361938,0.4356,0.00330939
67.3895,123.504,110.04,106.189,104.417,96.3652,10.7147,0.032778,0.292339,0.00981154
66.4218,120.441,108.673,102.608,99.7289,91.5086,10.111,0.056843,0.394452,0.00567292
65.5448,118.194,103.269,99.6166,95.2262,86.6022,9.81667,0.0373546,1.41773,1.26168
64.7759,115.574,98.9575,95.6002,87.9458,81.4216,8.76873,0.0474465,0.624848,0.00369549
63.8909,112.103,97.2578,91.4438,83.6886,75.8465,8.16173,0.057674,0.582398,0.253761
63.2356,109.104,96.0924,87.0686,78.1584,73.9032,7.76491,0.0493379,0.753026,0.217374
62.3193,105.674,91.2901,80.5409,71.5774,67.6963,8.03944,0.0681836,0.648224,0.00579876
61.1529,101.775,86.8719,73.7677,65.1221,61.5855,7.55428,0.070092,0.582578,0.873552
60.0979,98.0043,83.199,67.846,58.0384,55.1546,7.11224,0.0912331,0.921087,0.889466
