H,He,Li,Be,B,C,N,O,F,Ne
1.37564e+06,6233,0,0,0,0,128,4500,0,0
58210,12948,978,756,1396,1.00203e+06,1262,3052,3,1
97100,20966,1378,1094,2255,994363,1326,3562,16,0
132510,28694,1835,1438,3174,986712,1308,3889,10,2
167078,36369,2235,1859,4082,979192,1322,4159,2,2
200058,43573,2559,2193,4897,971648,1308,4552,11,1
231879,50827,2976,2575,5724,964238,1378,4667,10,2
263249,58261,3373,2892,6554,956949,1447,5080,8,1
293502,65342,3756,3229,7324,949542,1450,5327,10,0
323925,72824,4151,3550,8148,942346,1443,5562,12,0
353262,79913,4551,3979,8913,935187,1486,5832,9,0
382085,87160,4918,4272,9698,927781,1483,5983,6,0
410266,94036,5260,4688,10482,920729,1613,6331,16,0
437168,100852,5592,4998,11238,913662,1575,6436,14,2
465455,108363,6041,5258,11973,906716,1638,6598,11,2
492013,115062,6432,5637,12636,899525,1595,6834,13,0
517042,121550,6817,5938,13379,892582,1632,6980,13,1
542680,128693,7159,6244,14064,885761,1658,7207,10,1
568245,135399,7527,6611,14816,878937,1649,7290,9,1
592935,142196,7875,6921,15529,872060,1647,7776,7,1
617999,148954,8238,7205,16237,865375,1749,7930,16,0
643016,155688,8543,7561,16931,858306,1761,8091,14,1
666317,162167,8831,7799,17493,851516,1793,8260,13,1
688787,168469,9207,8149,18126,844891,1770,8411,16,0
711246,175257,9588,8441,18714,838219,1824,8282,12,0
734921,181907,9920,8758,19336,831735,1808,8772,13,0
756408,188209,10283,9031,19951,825027,1841,8854,11,0
778704,194860,10610,9306,20493,818516,1882,9045,16,0
799351,201061,10883,9590,21073,811948,1902,9320,18,0
820563,207343,11260,9905,21632,805565,1853,9380,18,0
840411,213783,11566,10147,22307,798979,1900,9641,22,0
860167,220087,11857,10382,22857,792567,1914,9869,13,0
880021,226283,12162,10673,23379,786232,1942,10007,8,0
898800,232502,12506,10919,23893,779955,2072,10183,15,1
916804,238575,12821,11199,24513,773656,2026,10217,18,0
936447,245260,13031,11473,24925,767451,2037,10323,14,0
954972,251113,13343,11697,25412,761216,2069,10404,24,0
971758,257033,13602,11953,25856,754950,2108,10772,10,0
989445,263429,14031,12243,26390,748884,2124,10839,22,2
1.00555e+06,269584,14242,12489,26822,742615,2172,10747,17,0
1.02215e+06,275592,14530,12718,27236,736526,2175,11229,20,1
1.03825e+06,282106,14813,13003,27768,730436,2239,11290,20,2
1.05426e+06,288473,15102,13220,28310,724177,2259,11404,24,0
1.06929e+06,294500,15328,13486,28702,718075,2294,11463,20,3
1.08358e+06,300774,15614,13745,29138,711901,2286,11427,24,1
1.09826e+06,306879,15915,13987,29626,705795,2291,11631,32,1
1.11227e+06,313260,16225,14154,30083,699726,2371,11937,22,1
1.12406e+06,319083,16466,14394,30555,693526,2303,11874,17,0
1.13652e+06,325860,16761,14689,31093,687594,2412,12366,27,2
1.14966e+06,332485,17042,14936,31586,681355,2313,12417,22,2
1.16084e+06,338656,17358,15143,32106,675041,2333,12532,24,1
1.17259e+06,345522,17615,15361,32501,668870,2346,12839,33,1
1.18298e+06,352098,17979,15666,32940,662383,2309,12664,25,1
1.19162e+06,358758,18215,15880,33474,655921,2380,12767,38,1
1.19993e+06,365836,18461,16094,34078,649371,2366,12895,53,6
1.20716e+06,372543,18755,16309,34516,642625,2437,13223,51,6
1.21281e+06,379366,19094,16563,35579,635551,2319,13282,40,2
1.21927e+06,386847,19425,16735,36373,628112,2389,13409,54,12
1.22312e+06,393821,19745,17026,37519,620002,2368,13458,47,8
1.22559e+06,401164,20183,17225,38472,611148,2440,13434,58,14
1.22594e+06,408265,20450,17279,39128,601307,2644,14173,170,28
1.22259e+06,413346,20104,16820,39200,590423,2786,15338,526,50
1.22036e+06,420245,19991,16363,38961,579461,2936,15723,670,97
1.21564e+06,423957,20038,15882,36640,567615,2827,15573,777,683
1.19393e+06,414380,20005,15141,32645,546574,1348,13950,300,1136
1.1638e+06,400899,19680,14177,29210,1982,904,13276,71,13
1.1417e+06,391072,19059,13139,26458,826,881,13033,65,18
1.1223e+06,382007,18339,12267,23984,784,871,12981,59,6
1.10485e+06,373647,17867,11543,21703,807,852,12684,70,5
1.08805e+06,365399,17241,10726,19423,781,798,12670,79,8
1.07146e+06,357581,16704,10089,17304,734,751,12635,54,12
1.05616e+06,349884,16189,9423,15440,720,802,12439,75,9
1.04145e+06,342900,15662,8827,13596,763,811,12303,51,12
1.02638e+06,335683,15244,8215,11841,684,746,12241,76,6
1.01169e+06,328831,14767,7669,10176,663,739,12207,48,3
997114,322234,14209,7111,8617,650,750,12121,48,9
984020,315814,13818,6657,7333,662,742,12078,53,9
969931,309526,13477,6193,6100,620,653,12020,55,10
957102,303496,13007,5758,4871,605,707,11896,46,4
943245,297416,12593,5363,3842,620,615,11744,48,1
930912,291622,12218,5017,2982,611,725,11538,46,4
918390,285985,11816,4667,2224,596,610,11595,46,5
905585,280307,11468,4368,1582,569,567,11464,39,4
893975,275086,11139,4051,1074,608,642,11269,53,3
882225,269687,10749,3805,687,538,573,11390,44,5
870518,264553,10434,3542,453,518,616,11355,37,2
858773,259156,10092,3312,300,531,571,11086,43,1
848412,254391,9759,3118,242,527,627,11027,32,2
837080,249459,9472,2977,254,515,580,11250,44,6
825880,244490,9143,2776,226,471,560,10822,46,3
815515,239845,8808,2618,223,483,541,10872,42,0
804440,235230,8489,2425,206,496,516,10895,41,4
793780,230501,8198,2261,221,481,524,10631,37,4
783396,225923,7906,2124,224,492,514,10499,35,1
773675,221631,7615,1984,194,471,547,10539,42,3
763639,217161,7338,1848,214,449,481,10543,39,3
754066,212772,7102,1692,198,519,513,10496,34,3
743950,208512,6850,1574,192,483,486,10417,47,1
734164,204510,6574,1470,191,458,467,10449,21,0
724908,200190,6308,1345,219,424,501,10415,36,3
714898,195949,6056,1222,198,442,459,10270,29,1
705710,191905,5862,1135,178,405,461,10170,40,3
696415,187946,5604,1015,181,436,481,10044,27,2
687671,184099,5378,939,205,431,407,10125,30,1
678491,180284,5161,833,188,464,450,10042,24,1
669379,176558,4902,735,156,376,422,9981,36,2
660094,172474,4669,647,153,379,430,9993,25,4
651552,168967,4455,555,182,413,454,9972,31,1
642749,165244,4280,469,145,365,449,9808,31,1
634636,161442,4054,405,154,359,395,9639,29,3
625927,157992,3816,340,176,354,386,9577,32,2
617598,154434,3651,290,135,384,405,9609,31,0
609738,150838,3456,257,156,415,371,9446,18,1
601693,147369,3263,209,126,351,385,9491,27,4
593309,143893,3096,197,146,339,409,9310,33,1
585315,140455,2914,148,107,351,358,9401,32,0
577475,137235,2732,142,108,350,376,9294,22,1
569695,134145,2576,105,92,334,365,9163,30,2
562065,130793,2438,99,108,321,372,9310,20,0
554262,127686,2287,82,114,342,337,9101,32,3
546953,124578,2139,74,102,342,325,9088,26,2
539251,121345,1989,61,77,293,392,9035,30,0
531820,118293,1848,59,105,307,329,8880,32,0
524703,115423,1742,48,78,293,332,8955,32,2
517334,112429,1637,46,89,283,324,8867,25,1
510331,109512,1541,45,64,292,339,8822,23,2
502870,106661,1426,42,69,286,306,8791,29,2
495803,103818,1342,43,72,288,313,8768,18,2
488903,101127,1262,24,73,304,296,8814,20,0
482152,98438,1165,36,73,287,334,8933,24,0
474931,95764,1069,27,75,270,302,8492,15,0
468775,93296,998,38,75,258,241,8449,24,0
461950,90643,938,22,70,268,304,8527,17,1
455840,88062,879,46,74,241,261,8430,22,1
449076,85556,825,38,75,250,280,8374,19,2
442298,83130,777,34,61,238,277,8237,21,1
436092,80845,717,30,67,248,264,8361,19,0
429800,78397,643,27,55,226,264,8291,19,1
423747,75983,622,39,52,235,268,8187,18,0
417548,73598,544,30,54,215,267,8243,24,1
411501,71279,512,30,65,232,250,8065,15,0
405646,69040,467,39,71,215,223,7942,9,4
399682,66869,427,46,57,209,230,8175,13,1
394136,64747,392,22,59,235,243,7958,15,1
388666,62647,364,33,54,212,246,7906,13,0
382802,60547,344,44,65,210,223,7748,11,1
377264,58521,306,36,48,206,215,7720,19,1
372029,56555,259,33,58,204,219,7604,15,0
366647,54738,250,28,51,208,212,7642,13,1
361096,52794,224,37,43,175,220,7696,15,1
356006,50888,211,24,65,200,215,7478,17,2
350883,48988,177,19,37,190,213,7460,16,0
345274,47233,179,25,50,186,210,7577,9,0
340525,45433,171,29,53,173,199,7442,12,0
335333,43641,157,23,53,178,198,7406,12,0
330118,42128,146,28,36,160,172,7347,14,0
325320,40416,133,20,44,174,205,7318,18,0
320682,38863,122,19,45,161,194,7365,21,0
315820,37260,131,21,50,141,191,7175,18,0
311282,35775,105,14,42,150,159,7266,9,0
306563,34424,100,13,41,138,187,7234,13,1
301887,32910,101,13,42,159,169,7220,20,3
297705,31498,88,11,26,158,150,7119,19,0
293066,30158,88,14,33,145,143,7039,17,0
288319,28916,79,17,36,151,162,7107,11,1
284362,27589,79,10,30,145,146,7012,12,2
279990,26371,71,9,35,124,167,7053,13,0
275833,25065,68,12,29,142,154,6889,10,1
271888,23911,59,23,39,137,141,6910,5,0
267794,22802,60,11,38,138,141,6696,9,1
263879,21700,72,23,42,149,124,6900,11,2
259979,20663,50,12,41,133,134,6840,2,0
255970,19703,46,13,32,137,162,6750,18,0
252233,18687,47,13,19,130,144,6771,13,0
248543,17818,56,11,20,132,139,6711,7,0
244890,16839,32,9,39,127,111,6603,9,0
241628,15981,51,13,25,122,120,6621,12,0
238128,15114,32,11,26,112,110,6544,8,1
234187,14338,27,11,30,115,128,6427,13,0
231006,13577,25,11,26,118,117,6485,5,0
227355,12735,25,10,27,110,115,6422,13,0
224224,12089,30,8,32,109,93,6413,8,0
221285,11407,30,8,26,111,106,6385,3,0
217914,10829,25,14,26,97,118,6314,15,0
214842,10143,32,9,34,106,101,6236,6,0
211699,9469,21,6,25,96,99,6174,9,0
208556,9003,20,13,32,83,98,6368,2,0
205491,8499,24,5,26,100,97,6107,6,0
202569,8019,27,15,24,89,112,6121,5,0
199840,7497,32,7,23,80,112,6195,8,0
196684,7017,23,8,16,91,90,6015,6,0
194003,6619,27,5,11,75,108,5920,5,0
191365,6210,31,7,21,73,87,6096,4,0
188789,5817,16,7,20,76,96,5833,7,0
185754,5453,24,5,19,95,94,5798,6,0
183388,5134,21,4,22,97,98,6066,7,0
180684,4809,36,11,21,92,104,5836,7,0
178119,4484,15,5,14,78,76,5905,3,0
175697,4203,24,8,32,88,80,5874,7,0
173399,3936,19,5,16,78,96,5884,2,0
