model,calculusType,cell,alpha_0,beta_0,r_nucleus,D_t,radiation_type,particle,meanEnergy,meanEnergy_sigma,meanLET,meanLET_sigma,LETd,LETd_sigma,nFractions,timeSpacing,fracDeliveryTime,alpha,beta,alpha_sigma,beta_sigma
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Monoenergetic,ParticleFieldBG0.mixedField,14.5842,0,0.00342967,0,0.00342967,0,1,0,0,1.06185,0.0599094,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG1.mixedField,1041.89,237.876,0.0319666,0.0659019,0.167829,0.316288,1,0,0,0.839863,0.0413864,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG2.mixedField,954.63,281.683,0.0325558,0.0668184,0.169696,0.314524,1,0,0,0.861405,0.0403284,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG3.mixedField,880.087,297.599,0.0327082,0.0649166,0.161549,0.302331,1,0,0,0.889854,0.0404118,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG4.mixedField,826.762,307.38,0.0329742,0.0659761,0.164982,0.305906,1,0,0,0.897438,0.0398256,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG5.mixedField,757.945,303.759,0.0338497,0.067065,0.166723,0.304637,1,0,0,0.922109,0.0389312,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG6.mixedField,691.672,293.158,0.0348609,0.0672748,0.164688,0.301194,1,0,0,0.955283,0.0384449,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG7.mixedField,626.942,277.257,0.0364037,0.0697154,0.169913,0.307802,1,0,0,0.984041,0.0375168,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG8.mixedField,561.569,256.626,0.0381942,0.0712798,0.17122,0.30825,1,0,0,1.02743,0.0366686,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG9.mixedField,492.762,231.414,0.0409811,0.0747073,0.17717,0.317001,1,0,0,1.0729,0.0355914,0,0
