model,calculusType,cell,alpha_0,beta_0,r_nucleus,D_t,radiation_type,particle,meanEnergy,meanEnergy_sigma,meanLET,meanLET_sigma,LETd,LETd_sigma,nFractions,timeSpacing,fracDeliveryTime,alpha,beta,alpha_sigma,beta_sigma
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF0.mixedField,14.0053,0.368654,0.00377725,0.00381413,0.00762862,0.0152466,1,0,0,1.28954,0.051691,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF1.mixedField,1038.27,287.547,0.0290708,0.0582467,0.145775,0.34227,1,0,0,0.846338,0.0473331,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF2.mixedField,941.823,333.016,0.0289285,0.0534566,0.12771,0.292235,1,0,0,0.873358,0.0470946,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF3.mixedField,855.766,351.252,0.0293786,0.0590137,0.147921,0.333437,1,0,0,0.891147,0.0453631,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF4.mixedField,787.917,358.443,0.0297692,0.063348,0.164572,0.364015,1,0,0,0.899244,0.0440679,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF5.mixedField,715.423,352.416,0.0303364,0.0650134,0.169665,0.368887,1,0,0,0.924897,0.0431295,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF6.mixedField,646.236,339.174,0.0310801,0.0628899,0.158336,0.339529,1,0,0,0.962888,0.0426619,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF7.mixedField,579.013,320.399,0.0326419,0.0724406,0.193406,0.408536,1,0,0,0.980562,0.0407581,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF8.mixedField,510.638,295.597,0.0343863,0.0751411,0.198585,0.410458,1,0,0,1.02392,0.0393321,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF9.mixedField,442.719,265.797,0.037033,0.0818859,0.218096,0.445891,1,0,0,1.06722,0.0376362,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF10.mixedField,375.949,228.35,0.0411305,0.0745875,0.17639,0.316379,1,0,0,1.14603,0.0350498,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF11.mixedField,303.003,185.662,0.0476189,0.0810018,0.185407,0.313246,1,0,0,1.24189,0.0316424,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF12.mixedField,220.095,133.584,0.0588241,0.0919435,0.202534,0.32248,1,0,0,1.39292,0.026364,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF13.mixedField,65.258,27.3897,0.165354,0.149174,0.299932,0.265516,1,0,0,1.59974,1.50469e-05,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF14.mixedField,32.0933,24.3993,0.124148,0.275553,0.735755,0.18989,1,0,0,0.604851,0.000115016,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF15.mixedField,35.9594,23.7494,0.0166072,0.0782558,0.38536,0.363506,1,0,0,1.05141,0.00733558,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF16.mixedField,35.3309,22.9441,0.0144486,0.0692066,0.345938,0.391157,1,0,0,1.09194,0.00946999,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF17.mixedField,34.9033,22.5093,0.0126282,0.0584494,0.28316,0.338917,1,0,0,1.14406,0.0118886,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF18.mixedField,34.3322,22.2387,0.0133211,0.0657673,0.33802,0.375009,1,0,0,1.03974,0.0102494,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF19.mixedField,33.3622,21.2874,0.0132551,0.0644032,0.326175,0.352026,1,0,0,1.0581,0.010065,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF20.mixedField,32.4698,20.4834,0.0138258,0.0661096,0.329936,0.326971,1,0,0,1.03663,0.00895931,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF21.mixedField,31.6693,19.8162,0.01267,0.0611398,0.307705,0.370924,1,0,0,1.13986,0.0102591,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF22.mixedField,30.9231,19.2188,0.0128318,0.0615453,0.308022,0.346923,1,0,0,1.11659,0.00956559,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF23.mixedField,30.2405,18.75,0.0128826,0.0612109,0.303722,0.334322,1,0,0,1.11146,0.00909654,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF24.mixedField,29.4039,17.8977,0.0115754,0.0518948,0.244229,0.309168,1,0,0,1.2776,0.0108876,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF25.mixedField,28.5626,17.191,0.0118407,0.0561596,0.278202,0.354199,1,0,0,1.24884,0.0100827,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF26.mixedField,27.6765,16.4054,0.0117353,0.0555045,0.274254,0.356737,1,0,0,1.29133,0.00989093,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF27.mixedField,26.7738,15.6346,0.0115845,0.0527893,0.252139,0.329571,1,0,0,1.34062,0.00979917,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF28.mixedField,26.0488,14.8025,0.0118198,0.0547777,0.265681,0.354047,1,0,0,1.34269,0.00900104,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF29.mixedField,25.2425,14.1672,0.01108,0.0505323,0.241541,0.345186,1,0,0,1.51197,0.00976897,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF30.mixedField,24.4235,13.4198,0.0109224,0.0464693,0.208627,0.284534,1,0,0,1.51009,0.00970109,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF31.mixedField,23.8833,12.8996,0.0108787,0.047634,0.21945,0.311537,1,0,0,1.56215,0.0091753,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF32.mixedField,23.2874,12.3596,0.0113059,0.0481161,0.216081,0.291833,1,0,0,1.57396,0.0080229,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF33.mixedField,22.4153,11.4917,0.0121329,0.0498927,0.2173,0.251428,1,0,0,1.51291,0.00671526,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF34.mixedField,21.8098,10.8369,0.0115276,0.0488271,0.218343,0.286143,1,0,0,1.59342,0.0071255,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF35.mixedField,21.1203,10.1732,0.0103687,0.0405323,0.168813,0.223971,1,0,0,1.81501,0.00839528,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF36.mixedField,20.5928,9.69246,0.0109169,0.0464787,0.2088,0.289858,1,0,0,1.82075,0.00712175,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF37.mixedField,20.128,9.22024,0.0103077,0.0409717,0.173164,0.252662,1,0,0,1.99051,0.00757874,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF38.mixedField,19.5519,8.77604,0.0117436,0.0449532,0.18382,0.221469,1,0,0,1.81268,0.00557725,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF39.mixedField,18.8772,8.08096,0.012129,0.0467296,0.192164,0.232436,1,0,0,1.82397,0.00514385,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF40.mixedField,18.5776,7.66231,0.0108681,0.0445618,0.193581,0.281653,1,0,0,2.00537,0.00610811,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF41.mixedField,18.1424,7.20391,0.0112808,0.0407074,0.158176,0.198776,1,0,0,2.10308,0.00542378,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF42.mixedField,17.6956,6.89428,0.0111571,0.0425483,0.173418,0.235794,1,0,0,2.08882,0.0054157,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF43.mixedField,17.2577,6.56478,0.0124814,0.0449481,0.174349,0.205834,1,0,0,2.00758,0.00419693,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF44.mixedField,16.9609,6.2919,0.0109405,0.0381046,0.143655,0.191855,1,0,0,2.35796,0.00531544,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQF45.mixedField,16.5358,6.17367,0.0119019,0.0492803,0.215949,0.318105,1,0,0,2.27324,0.00442888,0,0
