model,calculusType,cell,alpha_0,beta_0,r_nucleus,D_t,radiation_type,particle,meanEnergy,meanEnergy_sigma,meanLET,meanLET_sigma,LETd,LETd_sigma,nFractions,timeSpacing,fracDeliveryTime,alpha,beta,alpha_sigma,beta_sigma
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG0.mixedField,13.5317,24.422,0.00397928,0.00243303,0.00546689,0.00672744,1,0,0,1.23149,0.0559082,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG1.mixedField,1037.02,283.991,0.0291581,0.0575451,0.142726,0.337568,1,0,0,0.851165,0.0473956,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG2.mixedField,942.866,330.598,0.0293248,0.0608933,0.15577,0.362827,1,0,0,0.86534,0.0461119,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG3.mixedField,858.888,347.043,0.0291132,0.0532122,0.126373,0.290631,1,0,0,0.903127,0.0466539,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG4.mixedField,791.445,354.649,0.0298028,0.0635809,0.165445,0.374493,1,0,0,0.902319,0.0444531,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG5.mixedField,719.687,348.773,0.0302999,0.0632653,0.162396,0.361417,1,0,0,0.930755,0.043758,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG6.mixedField,649.948,335.842,0.0314065,0.0679773,0.178539,0.389574,1,0,0,0.95746,0.0423842,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG7.mixedField,581.155,317.004,0.0326161,0.0696678,0.181426,0.392333,1,0,0,0.989009,0.0415637,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG8.mixedField,513.276,292.657,0.03469,0.0780159,0.210143,0.441312,1,0,0,1.02381,0.0393284,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG9.mixedField,445.364,262.356,0.0372484,0.0809795,0.213301,0.441405,1,0,0,1.07359,0.0379687,0,0
