model,calculusType,cell,alpha_0,beta_0,r_nucleus,r_domain,radiation_type,particle,meanEnergy,meanEnergy_sigma,meanLET,meanLET_sigma,LETd,LETd_sigma,nFractions,timeSpacing,fracDeliveryTime,alpha,beta,alpha_sigma,beta_sigma
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Monoenergetic,ParticleFieldEM1.mixedField,1146.9,0,0.0268538,0,0.0268538,0,1,0,0,0.727976,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Monoenergetic,ParticleFieldEM2.mixedField,1091.86,0,0.0278493,0,0.0278493,0,1,0,0,0.744491,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Monoenergetic,ParticleFieldEM3.mixedField,1034.6,0,0.0290523,0,0.0290523,0,1,0,0,0.764944,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Monoenergetic,ParticleFieldEM4.mixedField,974.936,0,0.0304134,0,0.0304134,0,1,0,0,0.787855,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Monoenergetic,ParticleFieldEM5.mixedField,915.581,0,0.0319156,0,0.0319156,0,1,0,0,0.813006,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Monoenergetic,ParticleFieldEM6.mixedField,853.08,0,0.0337727,0,0.0337727,0,1,0,0,0.844304,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Monoenergetic,ParticleFieldEM7.mixedField,786.744,0,0.035952,0,0.035952,0,1,0,0,0.880448,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Monoenergetic,ParticleFieldEM8.mixedField,715.767,0,0.0387638,0,0.0387638,0,1,0,0,0.927152,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Monoenergetic,ParticleFieldEM9.mixedField,633.345,0,0.0427097,0,0.0427097,0,1,0,0,0.991734,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldEM10.mixedField,551.924,0,0.0476728,0,0.0476728,0,1,0,0,1.07162,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Monoenergetic,ParticleFieldEM11.mixedField,452.338,0,0.0560532,0,0.0560532,0,1,0,0,1.20244,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Monoenergetic,ParticleFieldEM12.mixedField,329.681,0,0.0715018,0,0.0715018,0,1,0,0,1.41861,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Monoenergetic,ParticleFieldEM13.mixedField,83.5223,0,0.231216,0,0.231216,0,1,0,0,1.71955,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldEM14.mixedField,11.4971,0,0.760218,0,0.760218,0,1,0,0,0.548393,0.073,0,0
